task_type,query,GT_topics,GT_keywords,PRED_topics,PRED_keywords,raw_output,parsed_output
topic和keywords,维生素A指南更新要点,维生素A,指南更新,维生素A,"指南, 更新, 要点","{""data"": {""result"": ""{\""topics\"":\""维生素A\"",\""keywords\"":\""指南, 更新, 要点\""}""}, ""raw_openai"": {""id"": ""chatcmpl-69b9985e01f34f2b8990c964d0ce2f08"", ""object"": ""chat.completion"", ""created"": 1781077893, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""维生素A\"",\""keywords\"":\""指南, 更新, 要点\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 80, ""completion_tokens"": 16, ""total_tokens"": 96}}}","{""topics"": ""维生素A"", ""keywords"": ""指南, 更新, 要点""}"
topic和keywords,有没有办公室丢失笔的队列研究,办公室丢失笔,队列研究,丢失笔,队列研究,"{""data"": {""result"": ""{\""topics\"":\""丢失笔\"",\""keywords\"":\""队列研究\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d07a449e5e07460baf222d776dfc5dda"", ""object"": ""chat.completion"", ""created"": 1781077893, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""丢失笔\"",\""keywords\"":\""队列研究\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 82, ""completion_tokens"": 11, ""total_tokens"": 93}}}","{""topics"": ""丢失笔"", ""keywords"": ""队列研究""}"
topic和keywords,特应性皮炎是否应该进行过敏原免疫治疗？,特应性皮炎,过敏原免疫治疗,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4a4fcf53bc844e608adfec7e996003aa"", ""object"": ""chat.completion"", ""created"": 1781077893, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 6, ""total_tokens"": 92}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,ICG在外科手术应用的最新进展有哪些,ICG,外科手术；最新进展,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a2dadddd6097423aabcf8a98a3748ef0"", ""object"": ""chat.completion"", ""created"": 1781077894, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 6, ""total_tokens"": 89}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,奥沙利铂说明书对于老年患者的用法用量是怎么说的,奥沙利铂；老年患者,说明书；用法用量,奥沙利铂,"老年患者, 用法用量","{""data"": {""result"": ""{\""topics\"":\""奥沙利铂\"",\""keywords\"":\""老年患者, 用法用量\""}""}, ""raw_openai"": {""id"": ""chatcmpl-30dc59b5019746f9a716f7166f08e7c0"", ""object"": ""chat.completion"", ""created"": 1781077894, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""奥沙利铂\"",\""keywords\"":\""老年患者, 用法用量\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 87, ""completion_tokens"": 17, ""total_tokens"": 104}}}","{""topics"": ""奥沙利铂"", ""keywords"": ""老年患者, 用法用量""}"
topic和keywords,百合相变,,,百合,相变,"{""data"": {""result"": ""{\""topics\"":\""百合\"",\""keywords\"":\""相变\""}""}, ""raw_openai"": {""id"": ""chatcmpl-2be85fecc4a043c8a623f7f807418f9f"", ""object"": ""chat.completion"", ""created"": 1781077894, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""百合\"",\""keywords\"":\""相变\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 78, ""completion_tokens"": 10, ""total_tokens"": 88}}}","{""topics"": ""百合"", ""keywords"": ""相变""}"
topic和keywords,CCND1调控巨噬细胞极化的作用及其机制是什么？,,,CCND1,"巨噬细胞, 极化, 作用机制","{""data"": {""result"": ""{\""topics\"":\""CCND1\"",\""keywords\"":\""巨噬细胞, 极化, 作用机制\""}""}, ""raw_openai"": {""id"": ""chatcmpl-53bcb0a4bac449cbb67b0dea9b0b6d8c"", ""object"": ""chat.completion"", ""created"": 1781077895, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""CCND1\"",\""keywords\"":\""巨噬细胞, 极化, 作用机制\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 21, ""total_tokens"": 110}}}","{""topics"": ""CCND1"", ""keywords"": ""巨噬细胞, 极化, 作用机制""}"
topic和keywords,神经外科2000以后的国内外指南共识,神经外科,指南共识,神经外科,"2000年, 国内外, 共识","{""data"": {""result"": ""{\""topics\"":\""神经外科\"",\""keywords\"":\""2000年, 国内外, 共识\""}""}, ""raw_openai"": {""id"": ""chatcmpl-59d3cb0f3ef44acca817f4561d9f0794"", ""object"": ""chat.completion"", ""created"": 1781077895, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""神经外科\"",\""keywords\"":\""2000年, 国内外, 共识\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 20, ""total_tokens"": 105}}}","{""topics"": ""神经外科"", ""keywords"": ""2000年, 国内外, 共识""}"
topic和keywords,目前ctDNA在胰腺癌中的应用有哪些？,胰腺癌,ctDNA,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-28086c63a30946e9b0850b9e9e2a68db"", ""object"": ""chat.completion"", ""created"": 1781077896, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 84, ""completion_tokens"": 6, ""total_tokens"": 90}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,托伐普坦治疗肝硬化难治性腹水，看到指南提到使用托伐普坦一般不超过30天，为什么是30天,肝硬化难治性腹水,托伐普坦；指南；30天,肝硬化,"难治性腹水, 托伐普坦, 治疗","{""data"": {""result"": ""{\""topics\"":\""肝硬化\"",\""keywords\"":\""难治性腹水, 托伐普坦, 治疗\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4705fd7d4c3b4159979471b5386de5e0"", ""object"": ""chat.completion"", ""created"": 1781077896, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""肝硬化\"",\""keywords\"":\""难治性腹水, 托伐普坦, 治疗\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 106, ""completion_tokens"": 22, ""total_tokens"": 128}}}","{""topics"": ""肝硬化"", ""keywords"": ""难治性腹水, 托伐普坦, 治疗""}"
topic和keywords,肥胖最新全球流行病高质量文献,肥胖,流行病,Obesity,"Global, High-impact literature, Recent trends","{""data"": {""result"": ""{\""topics\"":\""Obesity\"",\""keywords\"":\""Global, High-impact literature, Recent trends\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5af6832e9a9040b0b0de1b18f2d0af91"", ""object"": ""chat.completion"", ""created"": 1781077897, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""Obesity\"",\""keywords\"":\""Global, High-impact literature, Recent trends\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 82, ""completion_tokens"": 18, ""total_tokens"": 100}}}","{""topics"": ""Obesity"", ""keywords"": ""Global, High-impact literature, Recent trends""}"
topic和keywords,CSCO尿路上皮癌诊疗指南,尿路上皮癌,指南,CSCO尿路上皮癌,诊疗指南,"{""data"": {""result"": ""{\""topics\"":\""CSCO尿路上皮癌\"",\""keywords\"":\""诊疗指南\""}""}, ""raw_openai"": {""id"": ""chatcmpl-1287597b48e64dedb632176e7092ece7"", ""object"": ""chat.completion"", ""created"": 1781077897, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""CSCO尿路上皮癌\"",\""keywords\"":\""诊疗指南\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 15, ""total_tokens"": 98}}}","{""topics"": ""CSCO尿路上皮癌"", ""keywords"": ""诊疗指南""}"
topic和keywords,结直肠癌盆腔淋巴结清扫10分以上文章,结直肠癌,盆腔淋巴结清扫,结直肠癌,"盆腔淋巴结清扫, 10分以上","{""data"": {""result"": ""{\""topics\"":\""结直肠癌\"",\""keywords\"":\""盆腔淋巴结清扫, 10分以上\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0f288f81b5b4418cac1ff10b046323bc"", ""object"": ""chat.completion"", ""created"": 1781077897, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""结直肠癌\"",\""keywords\"":\""盆腔淋巴结清扫, 10分以上\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 84, ""completion_tokens"": 17, ""total_tokens"": 101}}}","{""topics"": ""结直肠癌"", ""keywords"": ""盆腔淋巴结清扫, 10分以上""}"
topic和keywords,心肺复苏黄金四分钟对生存率的影响是什么？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8f5aa97336b54af98e315447bcc43dd7"", ""object"": ""chat.completion"", ""created"": 1781077898, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 6, ""total_tokens"": 92}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,请帮我整理MiR-145在心脏中的功能研究进展,,,MiR-145,"心脏, 功能, 研究进展","{""data"": {""result"": ""{\""topics\"":\""MiR-145\"",\""keywords\"":\""心脏, 功能, 研究进展\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8a3448fc0ae6475ab6d9364ec1643ad9"", ""object"": ""chat.completion"", ""created"": 1781077898, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""MiR-145\"",\""keywords\"":\""心脏, 功能, 研究进展\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 90, ""completion_tokens"": 21, ""total_tokens"": 111}}}","{""topics"": ""MiR-145"", ""keywords"": ""心脏, 功能, 研究进展""}"
topic和keywords,胃癌手术时脾门淋巴结清扫的适应症是什么？,胃癌,手术；脾门淋巴结清扫；适应症,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d79cccef5ab844a5976eff6933ebf616"", ""object"": ""chat.completion"", ""created"": 1781077899, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 6, ""total_tokens"": 92}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,罗列结直肠癌综述,结直肠癌,,结直肠癌,综述,"{""data"": {""result"": ""{\""topics\"":\""结直肠癌\"",\""keywords\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e6e8a54c2cd04734875cd447cc8a987d"", ""object"": ""chat.completion"", ""created"": 1781077899, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""结直肠癌\"",\""keywords\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 79, ""completion_tokens"": 10, ""total_tokens"": 89}}}","{""topics"": ""结直肠癌"", ""keywords"": ""综述""}"
topic和keywords,儿童重症肺炎的早期识别指标及转入ICU的指征有哪些？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3b63adc4359e4d508c8952c0b335e51d"", ""object"": ""chat.completion"", ""created"": 1781077899, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 91, ""completion_tokens"": 6, ""total_tokens"": 97}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,ESMO大会发表了哪些尿路上皮癌研究？,尿路上皮癌,ESMO大会；研究,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6079968abea94245b43ff4784756b784"", ""object"": ""chat.completion"", ""created"": 1781077899, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 6, ""total_tokens"": 92}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,非血液肿瘤非化疗患儿的临床特征及相关研究思路与提纲,,,非血液肿瘤,"非化疗患儿, 临床特征, 研究思路, 研究提纲","{""data"": {""result"": ""{\""topics\"":\""非血液肿瘤\"",\""keywords\"":\""非化疗患儿, 临床特征, 研究思路, 研究提纲\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d55f0bbd1f324ac6b8cc3fee7268f019"", ""object"": ""chat.completion"", ""created"": 1781077900, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""非血液肿瘤\"",\""keywords\"":\""非化疗患儿, 临床特征, 研究思路, 研究提纲\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 25, ""total_tokens"": 114}}}","{""topics"": ""非血液肿瘤"", ""keywords"": ""非化疗患儿, 临床特征, 研究思路, 研究提纲""}"
topic和keywords,一项针对114例干眼患者的回顾性研究发现，气郁质是最常见的体质类型，且不同干眼亚型的体质分布存在显著差异。,,,干眼,"气郁质, 体质类型, 回顾性研究, 亚型分布","{""data"": {""result"": ""{\""topics\"":\""干眼\"",\""keywords\"":\""气郁质, 体质类型, 回顾性研究, 亚型分布\""}""}, ""raw_openai"": {""id"": ""chatcmpl-20558e050e6f4d04866d17d080889cbf"", ""object"": ""chat.completion"", ""created"": 1781077901, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""干眼\"",\""keywords\"":\""气郁质, 体质类型, 回顾性研究, 亚型分布\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 108, ""completion_tokens"": 26, ""total_tokens"": 134}}}","{""topics"": ""干眼"", ""keywords"": ""气郁质, 体质类型, 回顾性研究, 亚型分布""}"
topic和keywords,免疫治疗和化疗在治疗PIK3CA突变型转移性结直肠癌患者方面的严重不良事件发生率如何？,结直肠癌,免疫治疗；化疗；PIK3CA突变；严重不良事件,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-fc154492bba6474b900741952f187a59"", ""object"": ""chat.completion"", ""created"": 1781077901, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 97, ""completion_tokens"": 6, ""total_tokens"": 103}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,设计一个心衰药物的临床试验，要考虑哪些疗效指标？,心衰药物,临床试验；疗效指标,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0795994cede44793aae5b243b84038fd"", ""object"": ""chat.completion"", ""created"": 1781077901, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 87, ""completion_tokens"": 6, ""total_tokens"": 93}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,内源性代谢调控类口服抗肥胖药物的研究进展如何？,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c2cd3a4f68ea4b9ea561ead8d4e0fbf1"", ""object"": ""chat.completion"", ""created"": 1781077901, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 6, ""total_tokens"": 94}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,esmo指南对于老年癌症患者的化疗剂量有何建议,老年癌症患者,化疗；剂量,老年癌症患者,"化疗剂量, ESMO指南","{""data"": {""result"": ""{\""topics\"":\""老年癌症患者\"",\""keywords\"":\""化疗剂量, ESMO指南\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5260c073d06048b29c048754f49b8120"", ""object"": ""chat.completion"", ""created"": 1781077902, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""老年癌症患者\"",\""keywords\"":\""化疗剂量, ESMO指南\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 17, ""total_tokens"": 103}}}","{""topics"": ""老年癌症患者"", ""keywords"": ""化疗剂量, ESMO指南""}"
topic和keywords,免疫检查点抑制剂相关糖尿病（irDM）与1型糖尿病及2型糖尿病的鉴别诊断要点，及急性起病、伴发甲状腺炎、胰岛素依赖等临床特征在irDM诊断中的价值,,,免疫检查点抑制剂相关糖尿病（irDM）,"鉴别诊断, 1型糖尿病, 2型糖尿病, 急性起病, 伴发甲状腺炎, 胰岛素依赖, 诊断价值","{""data"": {""result"": ""{\""topics\"":\""免疫检查点抑制剂相关糖尿病（irDM）\"",\""keywords\"":\""鉴别诊断, 1型糖尿病, 2型糖尿病, 急性起病, 伴发甲状腺炎, 胰岛素依赖, 诊断价值\""}""}, ""raw_openai"": {""id"": ""chatcmpl-97bed73d2c764b03aff379baec91c37f"", ""object"": ""chat.completion"", ""created"": 1781077903, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""免疫检查点抑制剂相关糖尿病（irDM）\"",\""keywords\"":\""鉴别诊断, 1型糖尿病, 2型糖尿病, 急性起病, 伴发甲状腺炎, 胰岛素依赖, 诊断价值\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 118, ""completion_tokens"": 48, ""total_tokens"": 166}}}","{""topics"": ""免疫检查点抑制剂相关糖尿病（irDM）"", ""keywords"": ""鉴别诊断, 1型糖尿病, 2型糖尿病, 急性起病, 伴发甲状腺炎, 胰岛素依赖, 诊断价值""}"
